"filename", "language", "JavaScript", "JSON", "Markdown", "Ignore", "HTML", "Svelte", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\bauti\dashboard\.eslintrc.cjs", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\bauti\dashboard\.prettierignore", "Ignore", 0, 0, 0, 11, 0, 0, 0, 0, 1, 2, 14
"c:\Users\bauti\dashboard\.prettierrc", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\bauti\dashboard\README.md", "Markdown", 0, 0, 35, 0, 0, 0, 0, 0, 0, 31, 66
"c:\Users\bauti\dashboard\package-lock.json", "JSON", 0, 3924, 0, 0, 0, 0, 0, 0, 0, 1, 3925
"c:\Users\bauti\dashboard\package.json", "JSON", 0, 51, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\bauti\dashboard\postcss.config.cjs", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 0, 2, 3, 14
"c:\Users\bauti\dashboard\src\app.html", "HTML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\bauti\dashboard\src\bak.app.scss", "SCSS", 0, 0, 0, 0, 0, 0, 171, 0, 1, 20, 192
"c:\Users\bauti\dashboard\src\bak.variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 10, 0, 1, 2, 13
"c:\Users\bauti\dashboard\src\components\horizontalNav.svelte", "Svelte", 0, 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\bauti\dashboard\src\hooks.server.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 4, 7, 50
"c:\Users\bauti\dashboard\src\lib\helpers.js", "JavaScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\bauti\dashboard\src\lib\navbar.svelte", "Svelte", 0, 0, 0, 0, 0, 151, 0, 0, 1, 11, 163
"c:\Users\bauti\dashboard\src\lib\theme-select.svelte", "Svelte", 0, 0, 0, 0, 0, 39, 0, 0, 0, 6, 45
"c:\Users\bauti\dashboard\src\lib\themes\index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\bauti\dashboard\src\routes\+layout.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 6, 33
"c:\Users\bauti\dashboard\src\routes\+layout.server.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\bauti\dashboard\src\routes\+layout.svelte", "Svelte", 0, 0, 0, 0, 0, 98, 0, 0, 0, 22, 120
